Price,Address,Listing URL,Short Address,Zip,City,County,State,Beds,Baths,Footage,Raw Property Details,Price Per Sq. Ft.,Date Scraped,Latitude,Longitude,Broker Name,Status,Type,Lot Area,Lot Area Units,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Last Date Sold,Last Date Sold Price,Most Recent Date Listed for Sale,Most Recent Price Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Premium Status,Broker Phone (Premium Data),Listed By (Premium Data),Lister Phone (Premium Data),Agent Name (Premium Data),Agent Phone (Premium Data),Agent Email (Premium Data),Co-Agent Name (Premium Data),Co-Agent Phone (Premium Data),Buyer Agent Fee (Premium Data),Buyer Agent Name (Premium Data),Association Name (Premium Data),Association Fee (Premium Data),Monthly HOA Fees (Premium Data),Year Built (Premium Data),Stories (Premium Data),Heating (Premium Data),Cooling (Premium Data),Fireplace (Premium Data),Flooring (Premium Data),Foundation (Premium Data),Garage Capacity (Premium Data),Sewer (Premium Data),Subdivision (Premium Data),Property Condition (Premium Data),Roof Type (Premium Data),Virtual Tour (Premium Data),MLS Source (Premium Data),Parcel Id (Premium Data),Favorite Count (Premium Data),Page Views (Premium Data),Tax Paid (Most Recent) (Premium Data),Has Private Pool (Premium Data),Pool Features (Premium Data),Elementary School Rating (Premium Data),Middle School Rating (Premium Data),High School Rating (Premium Data),Transit Score (Premium Data),Walk Score (Premium Data),Bike Score (Premium Data),Description (Premium Data)
"$5,795","3235 17th St, San Francisco, CA 94110","https://www.zillow.com/homedetails/3235-17th-St-San-Francisco-CA-94110/337887859_zpid/","3235 17th St","94110","San Francisco","San Francisco County","CA","3","3","1288","3 bds | 3 ba | 1288 sqft","$4.5","Wed, 2026-04-22","37.76329","-122.4181","","FOR_RENT","APARTMENT","1288","sqft","","","","$6,722","$1,124,500","$560,556","","","$","","","","","","0","","Elite-tier data preview","","SF City Properties (Listed by property owner)","","","","","","","","","","","","","","","","","Hardwood","","","","","","","","Zillow Rentals","3575120","","","$7,437","","","3","4","2","94","100","100","Welcome to your dream home in Mission Dolores!

This stunning 2-level residence offers a perfect blend of comfort and style, with an open floor plan and an abundance of natural lighting. Step outside to your private, secluded backyard adorned with beautiful mature plants, providing a serene oasis for relaxation and entertainment.

Pets are more than welcome here, and with an extra deposit, your furry friends will have the opportunity to enjoy this beautiful space as much as you do. Convenience is paramount with in-unit laundry, ensuring you never have to leave the comfort of your home for chores.

You'll have the added luxury of a parking spot in the garage, ensuring your vehicle is safe and secure. Plus, the location couldn't be more ideal, as you'll be surrounded by an array of shops, restaurants, bars, cafes, Whole Foods, and the famous Bi-Rite Market, all just a stone's throw away.

For commuters, quick access to both Highway 101 and Highway 280 make travel a breeze, opening up a world of possibilities for exploration and adventure.

Inside, high-end appliances await you, elevating your culinary experiences to new heights. The unit boasts beautiful hardwood floors throughout, except in the bathrooms, where modern amenities meet functionality. Ample storage ensures all your belongings find their rightful place.

Don't miss the opportunity to make this exceptional property your home. Embrace the lifestyle you've always desired in this Mission Dolores gem.

-Application
-Proof of income
-Credit report/score
-Rent $5,350/month
-Security deposit: $6,000
-Pet deposit: $500/per (refundable)
-Application fee: $35/per applicant 
-Administrative fee/move-in fee: 10% of rent (one time payment non-refundable) 
-Lease term: One-year, then month-to-month
-Owner pays for water and garbage
-No smokingShow more"
"$18,000","(undisclosed Address), San Francisco, CA 94114","https://www.zillow.com/homedetails/San-Francisco-CA-94114/15145272_zpid/","(Undisclosed Address)","94114","San Francisco","San Francisco County","CA","5","4","2800","5 bds | 4 ba | 2800 sqft","$6.43","Wed, 2026-04-22","","","","FOR_RENT","SINGLE_FAMILY","2800","sqft","","","","$7,407","$3,407,600","$211,555","","","$","","","","","","0","","Elite-tier data preview","","Teresa D (Listed by property owner)","","","","","","","","","","","","","","Baseboard, Forced Air","","","Carpet, Hardwood","","","","","","","","Zillow Rentals","","","","$3,450","","","6","1","3","83","94","61","**Liberty Hill Estate | Four-Level Edwardian | Spa Suite, Guest Studio & Garden**

 Located on one of the most coveted residential blocks in San Francisco's prestigious Liberty Hill, this four-level residence offers a rare combination of architectural significance, scale, and elevated modern living. Positioned among some of the city's most distinguished homes and moments from the Castro and Noe Valley, the property delivers both privacy and immediate access to vibrant neighborhood life.

This is a home designed for those who value space, character, and refined amenities equally suited for sophisticated entertaining and everyday comfort.

 
**The Residence**
* Four levels of thoughtfully designed living
* Three PLUS bedrooms plus attic-level flex space (ideal for office, guest suite, or creative use)
* Three full bathrooms and one powder room

 **Living & Entertaining**
* Grand formal parlor with preserved period detailing and sweeping views over the Castro and city with gas fireplace

* Formal dining room with built-in vintage cabinetry and seating for 12+ guests
* Family room for relaxed living

* Library with custom built-ins, bar, sink, and drawer dishwasher

**Chef's Kitchen**
* Professional-grade Viking six-burner range
* Double ovens and double sinks
* Large-capacity refrigerator
* Dishwasher and dual disposals
* Designed for both daily living and elevated entertaining

 **Primary Suite**
A private retreat:
* Built-in sauna
* Steam shower
* Spa soaking tub
* Wood Burning Fireplace
* Private deck with views of Twin Peaks watch the fog roll over the city in a uniquely San Francisco setting

 **Garden & Outdoor Living**
* Landscaped garden with mature trees and a fountain
* Multiple areas for entertaining, dining, or quiet retreat
* A peaceful, private setting that complements the home's scale and character

**Guest / Flex Studio**
* Private-entry studio with kitchen and bath
* Available partially furnished or unfurnished
* In-unit washer and dryer
* Ideal for guests, extended stays, or a dedicated work space (not available for subleasing)

*Additional Features**
* In-home laundry
* Two-car parking (garage plus driveway)
* Excellent storage and flexibility throughout

 Homes of this scale, character, and amenity level in Liberty Hill are seldom available for lease. This is a distinctive offering for those seeking a true San Francisco residence rather than a standard rental.

*Private showings by appointment.* EMAIL only to inquire.

AVAILABLE JUNE 1ST 2026
Minimum of one year lease
Application fee
Full Credit Check 
Proof of Income
No Smoking in the home or the yard
Tenant maintains yard
Tenant pays all utilites 
Some pets considered , additional security fees may apply
Email only for information and/or viewingsShow more"
"$8,995","447 Spruce St, San Francisco, CA 94118","https://www.zillow.com/homedetails/447-Spruce-St-San-Francisco-CA-94118/2058229735_zpid/","447 Spruce St","94118","San Francisco","San Francisco County","CA","3","2","1640","3 bds | 2 ba | 1640 sqft","$5.48","Wed, 2026-04-22","37.78667","-122.45373","","FOR_RENT","SINGLE_FAMILY","1640","sqft","","","","$5,396","$2,472,100","","","","$","","","","","","3 hours","","Elite-tier data preview","","John Murphy (Listed by brokerage)","","John Murphy","","","","","","","","","","","","Electric","","","Garbage included in rent, Heating","","","","","","","","Zillow Rentals","","","","","","","7","8","7","69","96","82","Timelessly Elegant Newly Remodeled Penthouse Flat | In-U W/D | Compass
Situated on a picturesque tree-lined block in the heart of Presidio Heights, on the cusp of Laurel Village, steps from Cal-Mart and fine dining along Sacramento Street, this newly remodeled top-floor, full-floor flat encompasses the perfect set of attributes, rendering it the premiere 3 bedroom rental property in the North Side of San Francisco. This contemporary, updated Presidio Heights Stunner combines the timeless elegance of its pre-war roots, with a modern interpretation on a classically desirable San Francisco Edwardian footprint. Remaining true to the homes well-thought-out original design philosophy, the home takes advantage of bygone proportionality and volume, resulting in a ultra-functional expression of modern, understated elegance. Spread over 1,700 square feet of inviting, light filled living spaces, the home exudes warmth in addition to a profound sense of history and care. Call now, as rental properties of this caliber rarely present themselves. 

Key Terms:
- TeShow more"
"$4,500","1317 5th Ave #1, San Francisco, CA 94122","https://www.zillow.com/homedetails/1317-5th-Ave-1-San-Francisco-CA-94122/461891890_zpid/","1317 5th Ave #1","94122","San Francisco","San Francisco County","CA","2","2","1550","2 bds | 2 ba | 1550 sqft","$2.9","Wed, 2026-04-22","37.763866","-122.46229","","FOR_RENT","APARTMENT","1550","sqft","","","","","","","","","$","","","","","","4 hours","","Elite-tier data preview","","Chesley Chen (Listed by property owner)","","","","","","","","","","","","","","Forced Air","Central Air","","Hardwood","","","","","","","","Zillow Rentals","","","","","","","9","8","7","66","97","77","Classic Edwardian with original hardwood floors. It is an entire flat so there is tons of natural light. Feel free to plant in the garden or just relax there. There is a small deck outside of the back door. This is a 2 bedroom, but the dining room can be used as a 3rd bedroom. Sorry no short term sublets/rentals like Airbnb please. If the place is to be used as a 3 bedroom, we would need to check the credit history of all three potential tenants. The building is just a two minute walk to Golden Gate Park, 5 minutes from UCSF, 30 seconds to an N Judah stop and a five minutes to 9th and Irving where restaurants and shops are aplenty. One dog and/or one cat are welcomed, as long as they are house broken or litter box trained. For dog owners, the off leash dog run in Golden Gate Park is right at the 5th Avenue entrance.

Owner pays for water, sewage and garbage pickup. Tenant pays for gas/electric and internet and anything else such as cable.Show more"
"$9,500","2003 Franklin St #1, San Francisco, CA 94109","https://www.zillow.com/homedetails/2003-Franklin-St-1-San-Francisco-CA-94109/461887658_zpid/","2003 Franklin St #1","94109","San Francisco","San Francisco County","CA","2","2","1350","2 bds | 2 ba | 1350 sqft","$7.04","Wed, 2026-04-22","37.793076","-122.42493","","FOR_RENT","APARTMENT","1350","sqft","","","","","","","","","$","","","","","","9 hours","","Elite-tier data preview","","Quest Real Estate (Listed by listing agent)","","Quest Real Estate","","","","","","","","","","","","Forced Air","","","Hardwood, Tile","","","","","","","","Zillow Rentals","","","","","","","6","7","7","87","97","62","Welcome to 2003 Franklin Street - this very large and special true 2 bedroom full-floor flat is an entertainer's dream! Approximately 1350 square feet with very large living spaces, separate living, dining & sitting rooms! Newly remodeled with high ceilings, custom period moldings and wainscoting throughout, designer finishes and new paint throughout. Two fully remodeled bathrooms with shower stalls, designer tile and custom frameless glass. Shared backyard space! Very centrally located in one of San Francisco most desirable neighborhoods in the heart of Pacific Heights between Washington and Jackson Streets. This full floor residence has walls of windows for great natural light, oversized large kitchen with ample counter space, covered in hardwood floors, huge living spaces and great 2nd level location! In-unit washer and dryer! Close to public transportation, tech shuttles, easy and access to North Bay commute. Very close to bars, restaurants and shops, easy walk to Polk shops and restaurants and 3 blocks to Whole Foods, 1.5 blocks to Lafayette Park and easy access to Fillmore, Union and Chestnut Street shops and restaurants, Alta Plaza Park and Fort Mason!

Kitchen Extra-large, newly remodeled with custom cabinetry, walls of windows very bright! New tile flooring and new extra-long stone countertops/backsplash, ample cabinet space, stainless steel appliance suite including gas range, hood, dishwasher and in-unit laundry tucked away in the corner! The space is next to the entertaining bar area with built-in wine cooler in the wet bar area with tons of cabinet space as well. 

Living, dining and sitting rooms -- Very large spaces, very flexible spaces for use as office spaces, sitting room or game room, very high ceilings, custom period moldings and wainscoting throughout, massive windows and hardwood floors! Each room has multiple large windows facing front and side of the home, living room area is huge with decorative fireplace, perfect setup for entertaining and couch/TV setup and space for other setup! Separate dining area is perfectly located next to the kitchen and wine bar entertaining area with built-in wine cooler, with tons of space for large dining table, chairs and cabinet and/or buffet table. All spaces have ample room to setup a desk area for work from home, or entertaining spaces!

Bedrooms/Bathrooms - Large room with fully remodeled with ensuite bathrooms, new engineered hardwood flooring, ample size closet with multiple windows, new finishes and hardware, high ceilings and custom bathrooms. Both bathrooms fully remodeled with custom designer finishes, frameless glass shower doors, new vanities, new hardware and finishes!

About the Location

Pretty much close to everything you can possibly want, location doesn't get any better than this - very desirable location between Jackson and Washington Streets! Walker's Paradise, 96 WalkScore, very close to bars, restaurants and shops, easy walk to Polk shops and restaurants and 3 blocks to Whole Foods, 1.5 blocks to Lafayette Park and easy access to Fillmore, Union and Chestnut Street shops and restaurants, Alta Plaza Park and Fort Mason! Excellent transit, 86 TransitScore, Clay and Franklin Muni, Jackson and Gough and Van Ness and California Muni, 96 Walk, 86 transit and 62 bike scores
 Walk to Whole Foods, Avenue Fine Food Market, Polk Clay Liquor, Spencer and Daniels and so much more!

Great food and restaurants nearby include, 1.5 blocks to famous House of Prime Rib, Swan Oyster Depot, The Crepe House, MIXT, Bonita Taquiera, El Capitan Taquiera, Harris Restaurant, Acquerello Restaurant, Sorella Restaurant, Common Sage, Goldenette, Son and Garden, Fiorella Polk, Hoi An Vietnamese, Ti Piacera Ristorante, Bell Tower, Street Restaurant and Bar, Hummus Mediterranean, Nisei, The New Spot on Polk, Korean Soul Kitchen, Karam, Mezcalito, Mashita Galbi, Leopolds, Rise and Set, Dunya Mediterranean, and so much more!

Close to great bars and coffee shops nearby include, Bar Iris, Polkcha, Hrper& Rye, Hi-Lo Clb, Macondray, Lush Lounge, The Buccaneer, Shaghai Kelly's. Royal Ground Coffee, Moka Coffee, Juniper, Fueling Station Cafe, UPFORDAYS Cafe and Bakery, Cafe Reveille, Souvenir Coffee Co, St. Frank Coffee, Sunday Morning Coffee and so many more! Nearby in Marine/Chestnut, CC's Cocktail Lounge, Final Final, For The Record, Reed and Greenough Distillery, Delaney's Bar, Marina Lounge, Horseshoe Tavern, Hi Fi Lounge, Comet Club, Stock in Trade, Mauna Loa, Bus Stop, Steamed Sloth, Wild Hare and more! Coffee Roastery, Chestnut Street Coffee Roastery, Davids Tea, Starbucks, Peets Coffee, Wrecking Ball Coffee, Illy Caffe, and Perry's on Union!

Rental Qualifications

In addition to the information required on the application, income equaling 3 times the monthly rent, positive rental history, positive credit history with minimum 700 credit scores, renters' insurance with liability insurance, in an amount not less than $300k, with Housing Provider as additional interest are all requirements. Security deposit is based on credit, minimum security deposit is listed above. All adults must view the flat in person and submit an application.

Contact Information

To schedule a private showing, please contact Quest Real Estate Please click the reply button above to view contact information.

Quest Real Estate provides boutique property management services, paperless transactions and excellent customer service!

CalDRE 01717506 | Equal Housing Opportunity | All information deemed accurate but not guaranteed, subject to change at any time, Agent does not assume legal responsibility for omissions or errors.

1 year lease, water, garbage and sewer included with rentShow more"
"$8,200","992 Corbett Ave, San Francisco, CA 94131","https://www.zillow.com/homedetails/992-Corbett-Ave-San-Francisco-CA-94131/15132173_zpid/","","94131","San Francisco","","CA","3","2","1350","3 bds | 2 ba | 1350 sqft","$6.07","Wed, 2026-04-22","37.750786","-122.44424","","FOR_RENT","SINGLE_FAMILY","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$5,153","1475 Fillmore St, San Francisco, CA 94115","https://zillow.com/apartments/san-francisco-ca/the-fillmore-center/5XjVzy/","","94115","San Francisco","","CA","2","","","2 bds ","","Wed, 2026-04-22","37.782692","-122.43322","","FOR_RENT","","","","$5,153+ 2 bds, $6,117+ 3 bds","$5,153","$6,117","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$5,500","(undisclosed Address), San Francisco, CA 94118","https://www.zillow.com/homedetails/San-Francisco-CA-94118/453471760_zpid/","","94118","San Francisco","","CA","2","2","1368","2 bds | 2 ba | 1368 sqft","$4.02","Wed, 2026-04-22","","","","FOR_RENT","APARTMENT","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$5,800","199 Tiffany Ave APT 407, San Francisco, CA 94110","https://www.zillow.com/homedetails/199-Tiffany-Ave-APT-407-San-Francisco-CA-94110/79844165_zpid/","","94110","San Francisco","","CA","2","2","1248","2 bds | 2 ba | 1248 sqft","$4.65","Wed, 2026-04-22","37.74416","-122.42116","","FOR_RENT","APARTMENT","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$6,175","957 Hayes Street, 957 Hayes St APT 7, San Francisco, CA 94117","https://www.zillow.com/apartments/san-francisco-ca/957-hayes-street/5YHVRH/","","94117","San Francisco","","CA","2","2","991","2 bds | 2 ba | 991 sqft","$6.23","Wed, 2026-04-22","37.77544","-122.43205","","FOR_RENT","APARTMENT","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
