Price,Address,Listing URL,Short Address,Zip,City,County,State,Beds,Baths,Footage,Raw Property Details,Price Per Sq. Ft.,Date Scraped,Latitude,Longitude,Broker Name,Status,Type,Lot Area,Lot Area Units,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Last Date Sold,Last Date Sold Price,Most Recent Date Listed for Sale,Most Recent Price Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Premium Status,Broker Phone (Premium Data),Listed By (Premium Data),Lister Phone (Premium Data),Agent Name (Premium Data),Agent Phone (Premium Data),Agent Email (Premium Data),Co-Agent Name (Premium Data),Co-Agent Phone (Premium Data),Buyer Agent Fee (Premium Data),Buyer Agent Name (Premium Data),Association Name (Premium Data),Association Fee (Premium Data),Monthly HOA Fees (Premium Data),Year Built (Premium Data),Stories (Premium Data),Heating (Premium Data),Cooling (Premium Data),Fireplace (Premium Data),Flooring (Premium Data),Foundation (Premium Data),Garage Capacity (Premium Data),Sewer (Premium Data),Subdivision (Premium Data),Property Condition (Premium Data),Roof Type (Premium Data),Virtual Tour (Premium Data),MLS Source (Premium Data),Parcel Id (Premium Data),Favorite Count (Premium Data),Page Views (Premium Data),Tax Paid (Most Recent) (Premium Data),Has Private Pool (Premium Data),Pool Features (Premium Data),Elementary School Rating (Premium Data),Middle School Rating (Premium Data),High School Rating (Premium Data),Transit Score (Premium Data),Walk Score (Premium Data),Bike Score (Premium Data),Description (Premium Data)
"$6,900","2626 Monte Cresta Dr, Belmont, CA 94002","https://www.zillow.com/homedetails/2626-Monte-Cresta-Dr-Belmont-CA-94002/15546709_zpid/","2626 Monte Cresta Dr","94002","Belmont","San Mateo County","CA","4","3","2260","4 bds | 3 ba | 2260 sqft","$3.05","Fri, 2026-05-01","37.51643","-122.307755","","FOR_RENT","SINGLE_FAMILY","2260","sqft","","","","$7,853","$2,651,800","$933,698","","","$","Fri, 2000-01-28","$607,500","","","","4 hours","","Elite-tier data preview","650-459-4179","Jila Afjei (Listed by management company)","(650) 459-4179","Jila Afjei","650-459-4179","","","","","","","","","","","Forced Air","","","Hardwood, Tile","","","","","","","","Zillow Rentals","043311740","","","$12,094","","","8","10","10","","17","20","Fresh, modern, brilliant recently updated 3-level home in the Belmont Hills. This 4-bedroom, 2.5-bath residence features an updated kitchen that opens to a spacious family room with expansive windows, abundant natural light, and a cozy fireplace. Enjoy a formal living room with a second fireplace, plus a formal dining room ideal for gatherings.

The entire home has new hardwood and laminate flooring, fresh interior paint, and refreshed finishes. Exterior siding was recently replaced and painted for a clean, contemporary curb appeal. Tall ceilings and large windows throughout maximize light and space. A 2-car garage, driveway, and ground-level storage area add practical convenience.

Excellent Peninsula location with easy commuting via Highways 92, 280, and 101 and nearby Caltrain. Top-rated Belmont schools, Water Dog Lake Park (walkable/hike/bike), and popular local cafes and restaurants are close by. Minutes to San Francisco, Facebook, Apple, Google, and Stanford. A must-see!

Minimum 12 months lease.
Owner pays for the periodic landscape work and clean up.
Tenant is responsible for all utilities, waste management and cable and internet
costs.Refundable Pet deposit of $1000 per pet is required.
Absolutely no smoking.
Renter's insurance is required.Show more"
"$5,800","126 Dartmouth Rd, San Mateo, CA 94402","https://www.zillow.com/homedetails/126-Dartmouth-Rd-San-Mateo-CA-94402/15526711_zpid/","126 Dartmouth Rd","94402","San Mateo","San Mateo County","CA","3","2","1600","3 bds | 2 ba | 1600 sqft","$3.63","Fri, 2026-05-01","37.560635","-122.32758","","FOR_RENT","SINGLE_FAMILY","1600","sqft","","","","$7,077","$2,732,600","$223,594","","","$","","","","","","7 hours","","Elite-tier data preview","415-727-2155","SC Property Management Inc (Listed by management company)","(415) 727-2155","","415-727-2155","","","","","","","","","","","","","","","","","","","","","","Zillow Rentals","034092090","","","$6,955","","","7","8","10","46","89","63","Beautiful and well-maintained 3-bedroom, 2-bath lower-level unit of a duplex located in the highly sought-after Baywood neighborhood, west of El Camino. Just minutes to Downtown San Mateo dining, shopping, and parks with easy access to Hwy 92, 101 & 280.

Home Features:
 Freshly refinished hardwood floors
 Newly painted interior
 Oversized living room + formal dining room
 Primary bedroom with ensuite and access to enclosed patio
 Two additional spacious bedrooms
 Dedicated laundry room w/ washer & dryer
 Detached 2-car garage

*Garbage and Gardening Included*

Fantastic location in a quiet residential neighborhood, walkable to top-rated schools, Central Park, and vibrant downtown amenities.

1 year lease
No pets

Please contact listing agent for further information
SC Property ManagementShow more"
"$6,000","507 Princeton Rd, San Mateo, CA 94402","https://www.zillow.com/homedetails/507-Princeton-Rd-San-Mateo-CA-94402/15526305_zpid/","507 Princeton Rd","94402","San Mateo","San Mateo County","CA","3","2","1700","3 bds | 2 ba | 1700 sqft","$3.53","Fri, 2026-05-01","37.550865","-122.3357","","FOR_RENT","SINGLE_FAMILY","1700","sqft","","","","$6,378","$2,500,800","$150,449","","","$","","","","","","2","","Elite-tier data preview","650-613-5678","SC Property Management Inc (Listed by management company)","(650) 613-5678","","650-613-5678","","","","","","","","","","","","","","","","","","","","","","Zillow Rentals","034044210","","","$3,326","","","7","8","10","27","21","23","Single level Baywood Knolls home located in one of the most coveted San Mateo neighborhoods.
Charming 3 bedroom 2 bathroom home. Living Room with wood-burning fireplace, separate dining room & eat in kitchen.
Attached 2 car garage with washer & dryer. Deck off one of the bedrooms to access backyard includes artificial turf & Bay Views.
Close proximity to downtown restaurants and CalTrain Station. Blocks away to Baywood Elementary School and Aragon High
School. Also located near commute routes to San Francisco & Silicon Vally. A must see!

Rent $6,000.00
Deposit $4,500.00Show more"
"$12,000","158 Los Robles Dr, Burlingame, CA 94010","https://www.zillow.com/homedetails/158-Los-Robles-Dr-Burlingame-CA-94010/15514607_zpid/","158 Los Robles Dr","94010","Burlingame","San Mateo County","CA","5","4","4000","5 bds | 4 ba | 4000 sqft","$3","Fri, 2026-05-01","37.57615","-122.39082","","FOR_RENT","SINGLE_FAMILY","4000","sqft","","","","$9,999","$3,724,600","$2,624,746","","","$","Wed, 2019-07-24","$2,400,000","Mon, 2019-03-11","$3,295,000","","2","","Elite-tier data preview","","Vincent Laherrere, First Equity Agent (Listed by management company)","","Vincent Laherrere, First Equity Agent","","","","","","","","","","","","Forced Air","Central Air, Wall Unit, Window Unit","","Carpet, Hardwood, Tile","","","","","","","https://www.zillow.com/view-imx/e86a11ba-7a99-4112-80ae-ce2728b13821/?hidePhotos=true&initialViewType=pano","Zillow Rentals","027081200","","","$32,365","","","8","10","10","","14","8","Perched in the prestigious Burlingame Hills, this breathtaking estate at 158 Los Robles Drive offers an exceptional luxury leasing opportunity at $12,000 per month. This expansive five-bedroom, four-bathroom residence blends architectural elegance with modern sophistication, creating a truly elevated living experience.

Inside, a stunning atrium-style living space welcomes you with soaring ceilings, exposed wood beams, dramatic skylights, and exquisite handcrafted copper lighting. The heart of the home is a designer chef's kitchen, outfitted with custom cabinetry and premium finishes, ideal for both everyday living and refined entertaining. A striking brick fireplace anchors the main living area, adding warmth and character.

The primary suite serves as a private retreat, featuring a spa-inspired bathroom adorned with rare Michael Angelo Calcutta marble and a sculptural freestanding soaking tub. Throughout the home, high-end fiberglass dual-pane windows and doors provide both energy efficiency and quiet comfort.

Modern conveniences abound, including an attached two-car garage, a Tesla EV charging station, and a whole-home backup generator ensuring seamless living at all times. Outdoors, a beautifully designed low-maintenance backyard and patio create a serene setting for relaxation or entertaining.

Ideally located, the property offers immediate access to scenic hiking trails, as well as convenient connectivity via Interstate 280 for effortless commuting to San Francisco International Airport and the vibrant shops and dining of downtown Burlingame. Situated within the highly regarded Burlingame School District, this home provides access to top-tier local schools.

This is a rare opportunity to lease a truly exceptional home in one of Burlingame's most coveted neighborhoods.

Tenant pays for utilities, renters insurance, and maintenanceShow more"
"$7,995","91 31st Ave, San Mateo, CA 94403","https://www.zillow.com/homedetails/91-31st-Ave-San-Mateo-CA-94403/15538072_zpid/","91 31st Ave","94403","San Mateo","San Mateo County","CA","4","3","1770","4 bds | 3 ba | 1770 sqft","$4.52","Fri, 2026-05-01","37.53724","-122.30263","","FOR_RENT","SINGLE_FAMILY","1770","sqft","","","","$6,929","$2,154,400","$997,444","","","$","Thu, 2013-03-14","$810,000","Tue, 2012-09-25","$899,000","","9","","Elite-tier data preview","","Linda (Listed by property owner)","","","","","","","","","","","","","","","Central Air","","Hardwood","","","","","","","","Zillow Rentals","039460060","","","$13,156","","","3","4","9","52","90","69","RARE OPPORTUNITY to make this contemporary ranch house with 3 bedrooms & 3 bathrooms your new home. Spacious office/family room addition can be turned into a 4th bedroom if needed. $100K+ in upgrades throughout the house in recent years including new bathrooms, new kitchen and appliances, internet wi-fi included, new flooring and windows, recessed lighting, new central A/C, kid friendly backyard design with lush magnolia trees and more. A view of the backyard from nearly every room with sliding doors creates an inviting layout, perfect for entertaining, gardening, and relaxing.

Location:
Excellent neighborhood in prime Peninsula location
1 min walk to surrounding restaurants, cafes, shops (urban convenience in a community neighborhood)
5 min walk to parks, playgrounds, groceries and other amenities
10 min walk to local schools
10 min walk to public transit access to San Francisco, East Bay, and South Bay
Easy access to Hillsdale Caltrain Station (5 min) and Millbrae Bart
Easy access to all major freeways (10 minutes to 101, 280 and 92)
Close to multiple company offices: Roblox, IBM, Snowflake, Guidewire, and more

Showings available by appointment only.

Available starting May 1. Minimum 12-month lease - priority to longer term, background check, security deposit w/ excellent credit, proof of income, tenant responsible for utilities, small dog ( 40 lbs) OK - pet deposit & rent applies, no smoking. House will be leased unfurnished.Show more"
"$5,600","216 N Humboldt St, San Mateo, CA 94401","https://www.zillow.com/homedetails/216-N-Humboldt-St-San-Mateo-CA-94401/15523172_zpid/","216 N Humboldt St","94401","San Mateo","","CA","3","2","1260","3 bds | 2 ba | 1260 sqft","$4.44","Fri, 2026-05-01","37.575493","-122.32236","","FOR_RENT","SINGLE_FAMILY","","","","","","$5,268","$1,381,700","","","","$","","","","","","12","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,000","840 Alameda De Las Pulgas, Belmont, CA 94002","https://www.zillow.com/homedetails/840-Alameda-De-Las-Pulgas-Belmont-CA-94002/15549013_zpid/","840 Alameda De Las Pulgas","94002","Belmont","","CA","3","2","1540","3 bds | 2 ba | 1540 sqft","$4.55","Fri, 2026-05-01","37.513668","-122.2951","","FOR_RENT","SINGLE_FAMILY","","","","","","$6,312","$2,136,800","","","","$","","","","","","13","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$9,000","1824 Black Mountain Rd, Hillsborough, CA 94010","https://www.zillow.com/homedetails/1824-Black-Mountain-Rd-Hillsborough-CA-94010/15519627_zpid/","1824 Black Mountain Rd","94010","Hillsborough","","CA","3","3","2110","3 bds | 3 ba | 2110 sqft","$4.27","Fri, 2026-05-01","37.54655","-122.36697","","FOR_RENT","SINGLE_FAMILY","","","","","","$8,136","$3,678,500","","","","$","","","","","","13","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$6,000","609 S Delaware St, San Mateo, CA 94402","https://www.zillow.com/homedetails/609-S-Delaware-St-San-Mateo-CA-94402/15524794_zpid/","609 S Delaware St","94402","San Mateo","","CA","2","1","1020","2 bds | 1 ba | 1020 sqft","$5.88","Fri, 2026-05-01","37.565052","-122.317406","","FOR_RENT","SINGLE_FAMILY","","","","","","$4,973","$1,258,200","","","","$","","","","","","16","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$9,850","25 Warmwood Way, Hillsborough, CA 94010","https://www.zillow.com/homedetails/25-Warmwood-Way-Hillsborough-CA-94010/15519440_zpid/","25 Warmwood Way","94010","Hillsborough","","CA","3","3","2510","3 bds | 3 ba | 2510 sqft","$3.92","Fri, 2026-05-01","37.553318","-122.369545","","FOR_RENT","SINGLE_FAMILY","","","","","","$8,444","$4,170,500","","","","$","","","","","","16","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
